A,B,C,D,E,F
52,742,696,777,963,4
418,747,128,94,118,917
650,86,876,393,779,734
26,411,348,897,91,988
6,892,153,314,613,85
41,233,603,525,62,280
494,674,697,340,752,117
787,588,371,973,34,366
391,158,642,484,522,791
463,292,769,516,960,523
68,1000,192,983,502,358
273,565,820,318,394,130
727,673,600,61,317,153
130,491,187,575,828,124
948,373,546,690,360,293
121,703,125,33,442,235
171,83,162,352,261,803
3,216,44,959,807,161
944,562,134,528,263,137
334,187,734,710,234,979
807,19,926,922,359,413
462,786,259,331,129,482
242,751,503,98,308,359
114,402,211,915,812,502
545,572,726,192,213,688
859,228,350,512,466,775
102,681,350,219,81,699
51,757,409,202,497,298
405,716,383,253,746,675
479,454,854,956,690,950
183,705,129,134,250,871
812,903,722,925,718,246
148,182,877,532,134,590
889,693,593,41,130,301
695,105,607,399,719,208
101,323,822,889,361,545
976,150,368,812,370,126
559,195,615,999,64,708
295,997,259,137,189,141
120,33,854,983,733,584
147,728,369,563,59,401
412,662,322,321,383,439
313,364,497,815,944,743
260,77,935,262,165,837
693,283,870,448,716,819
295,930,438,655,594,298
567,782,656,607,118,523
808,504,831,467,542,440
668,742,229,676,211,911
643,670,586,246,978,162
993,659,697,380,924,701
174,959,115,93,683,207
771,620,475,314,587,656
388,639,695,457,508,765
415,829,486,837,226,410
240,120,767,843,25,171
498,229,579,233,213,588
841,915,566,406,513,166
395,45,704,519,623,446
981,67,695,933,152,178
784,222,54,684,98,70
744,511,790,697,585,969
241,950,407,899,900,74
630,44,449,764,297,780
444,865,84,935,945,932
609,769,531,787,9,271
694,86,317,491,630,335
852,495,79,622,378,405
665,625,378,887,327,494
103,658,171,267,371,497
89,410,345,536,84,155
183,733,928,904,937,641
61,820,141,294,584,133
606,65,211,505,79,278
141,610,290,710,736,47
142,96,367,338,739,481
815,175,531,748,189,935
342,231,424,582,751,888
996,68,343,250,1,537
398,971,359,401,269,827
720,609,920,268,200,754
42,409,891,979,787,594
893,537,561,151,14,804
861,655,180,216,362,838
904,300,228,704,423,661
814,501,37,789,437,517
694,380,959,478,634,520
88,572,982,157,995,627
792,290,993,532,321,110
723,487,150,630,779,408
568,396,173,749,109,646
36,256,284,633,408,625
321,466,872,293,985,240
105,573,982,545,90,675
612,553,292,921,127,385
418,2,684,739,814,125
814,241,263,430,534,633
327,370,242,714,511,817
475,861,97,372,842,205
840,42,917,672,62,820
150,487,119,188,741,206
812,637,741,15,189,408
965,41,864,599,913,700
814,422,510,626,658,670
675,248,748,776,210,192
786,792,709,430,826,733
616,417,175,948,878,652
597,396,558,878,119,139
777,83,377,36,108,981
403,899,905,553,671,986
780,862,934,855,104,918
782,666,473,779,957,28
755,130,787,392,281,884
365,578,260,506,695,567
777,529,968,586,883,875
204,492,747,957,683,37
807,657,540,310,47,366
557,25,356,762,938,858
220,163,188,901,174,549
311,622,56,245,84,217
654,94,596,879,200,755
598,307,27,463,584,92
382,716,212,716,821,429
202,558,298,369,656,977
875,304,487,258,643,180
440,576,831,415,615,498
988,715,958,143,965,288
113,72,830,756,242,881
968,385,690,959,205,954
148,190,530,295,994,926
615,864,442,80,520,792
969,470,877,402,49,607
969,116,611,437,744,72
1,903,779,782,902,543
941,968,2,745,416,578
834,51,914,310,598,463
109,899,261,233,687,131
182,974,888,738,687,449
718,437,951,734,728,160
262,532,245,654,384,217
546,542,687,96,445,910
540,71,597,822,915,886
9,339,33,520,989,641
667,322,364,565,865,296
999,38,399,781,217,184
721,754,499,210,162,183
473,684,530,485,668,351
269,638,895,422,237,738
930,359,265,628,882,775
592,84,654,410,898,469
816,34,798,197,214,137
858,159,148,185,555,589
960,752,273,704,288,380
304,874,738,194,427,406
885,360,970,317,303,937
644,397,928,246,347,549
107,515,31,275,215,121
872,97,452,395,282,400
227,698,164,560,485,278
331,523,568,688,342,317
568,143,421,388,762,936
745,711,776,113,663,632
257,692,1,745,402,104
882,451,935,644,411,903
842,416,63,704,696,907
662,74,684,785,752,932
435,659,154,770,502,458
624,208,346,33,541,412
206,22,556,201,317,796
960,668,325,844,421,784
885,260,635,550,357,969
163,608,757,293,591,533
652,271,958,357,190,894
4,266,515,530,414,291
135,169,592,261,649,834
116,204,827,740,902,38
179,715,472,466,592,848
269,469,873,230,44,679
66,841,803,73,223,358
403,328,123,434,57,457
751,725,611,192,593,756
333,389,423,174,503,775
503,327,683,960,81,712
14,435,449,903,538,996
582,431,137,633,380,675
976,627,904,41,763,851
902,871,971,33,638,987
419,671,40,207,505,759
594,554,962,697,26,814
369,836,552,394,65,338
463,831,208,942,285,279
462,67,908,316,752,686
970,257,603,901,140,442
59,685,144,708,625,376
44,613,621,753,910,640
388,725,48,552,176,117
890,544,954,256,293,558
823,575,413,996,769,297
734,501,794,844,873,882
514,9,498,230,163,868
328,500,728,822,949,331
154,41,112,774,656,843
936,30,975,607,901,522
669,668,7,393,851,765
868,265,300,101,399,390
958,829,894,853,325,256
707,212,630,540,827,265
681,600,128,247,223,306
309,835,825,638,22,559
47,544,192,45,48,764
909,308,627,675,84,746
144,813,542,850,621,817
884,501,859,210,411,743
701,315,752,398,40,929
730,121,413,185,69,44
323,98,391,216,440,472
966,901,617,256,786,765
168,387,929,872,398,477
467,864,349,58,229,323
151,313,117,528,301,589
326,55,84,593,249,696
53,431,826,541,174,107
